"event_id","event_name","event_url","locale","current_date"
"G5viZb8EDFbiY","Latto - Sugar Honey Iced Tea Tour","https://www.ticketmaster.com/latto-sugar-honey-iced-tea-tour-nashville-tennessee-10-27-2024/event/1B006109FB218B30","en-us","2024-10-16"
"vvG17Zb2xc1dUX","Blxst - I'll Always Come Find You Tour","https://concerts.livenation.com/blxst-ill-always-come-find-you-boston-massachusetts-10-15-2024/event/010060F8AD283DBE","en-us","2024-10-16"
"vvG17ZbC6rcMMU","Brooke Candy (18+)","https://concerts.livenation.com/brooke-candy-18-boston-massachusetts-10-15-2024/event/010060E1DEB77DF6","en-us","2024-10-16"
"17FZvOG6uh9nsD4","Post Malone: F-1 Trillion Tour","https://concerts.livenation.com/post-malone-f1-trillion-tour-birmingham-alabama-10-15-2024/event/200060D6D7AB1ED5","en-us","2024-10-16"
"G5dIZbu3p0KSc","Prof with GRIP, Norman Sann, and Willie Wonka","https://concerts.livenation.com/prof-with-grip-norman-sann-and-austin-texas-10-16-2024/event/3A0060D496913CED","en-us","2024-10-16"
"G5eVZbG2ay0nk","Homixide Gang: 5 ACTIVITY","https://concerts.livenation.com/homixide-gang-5-activity-charlotte-north-carolina-10-16-2024/event/2D0060C3C9E64A86","en-us","2024-10-16"
"vvG1IZbGLeSAhY","Juvenile w/ The 400 Degreez Band","https://concerts.livenation.com/juvenile-w-the-400-degreez-band-san-diego-california-10-16-2024/event/0A0060C7C2CC56F0","en-us","2024-10-16"
"G5eVZb2lGUBCK","That Mexican OT","https://concerts.livenation.com/that-mexican-ot-north-myrtle-beach-south-carolina-10-17-2024/event/2D0060FACCDBA393","en-us","2024-10-16"
"vv1AvZk7kGkeTcPBP","42Dugg","https://www.ticketmaster.com/42dugg-boston-massachusetts-10-17-2024/event/01006106BFB65EA5","en-us","2024-10-16"
"1AvfZb3Gkwh7fHP","Creative Nation Presents Sexyy Red","https://www.ticketmaster.com/creative-nation-presents-sexyy-red-washington-district-of-columbia-10-17-2024/event/1500612C9B114F25","en-us","2024-10-16"
"G5dIZbuwq3xWb","SNOTTY NOSE REZ KIDS - RED FUTURE","https://concerts.livenation.com/snotty-nose-rez-kids-red-future-houston-texas-10-17-2024/event/3A0060DC9D4A2F58","en-us","2024-10-16"
"vvG1VZb8VAb0m6","DeJ Loaf ""Where My Fans Tour"" (End of Summer)","https://www.ticketmaster.com/dej-loaf-where-my-fans-tour-ft-lauderdale-florida-10-18-2024/event/0D00610D05624B87","en-us","2024-10-16"
"vv178ZbaGkl7qdZM","Sueco - Attempted Lover Tour","https://concerts.livenation.com/sueco-attempted-lover-tour-chicago-illinois-10-18-2024/event/0400609AC4743037","en-us","2024-10-16"
"vvG1VZb5BOG3kc","Santa Fe Klan - Blanco y Negro US Tour","https://concerts.livenation.com/santa-fe-klan-blanco-y-negro-miami-florida-10-18-2024/event/0D0060BEA03121AD","en-us","2024-10-16"
"G5eVZbCT_AANQ","NCA&T Homecoming Concert","https://www.ticketmaster.com/ncat-homecoming-concert-greensboro-north-carolina-10-19-2024/event/2D0060EFD91458DA","en-us","2024-10-16"
"G5eVZbK2L9I9t","HOLLYWOOD THE PROMOTER PRESENTS BOOSIE (18+)","https://concerts.livenation.com/hollywood-the-promoter-presents-boosie-18-north-myrtle-beach-south-carolina-10-19-2024/event/2D006133DF5E85E9","en-us","2024-10-16"
"17AYvOG62THFFFP","West Coast Takeover","https://www.ticketmaster.com/west-coast-takeover-primm-nevada-10-19-2024/event/170060FFFC208225","en-us","2024-10-16"
"1A_Zk78GkdJzfjx","SonReal: All Things Aside Tour @ 191 Toole","https://www.ticketmaster.com/sonreal-all-things-aside-tour-191-tucson-arizona-10-20-2024/event/19006110E6E14722","en-us","2024-10-16"
"k7vGFb8Lo94Ig","42 Dugg","https://concerts.livenation.com/42-dugg-new-york-new-york-10-21-2024/event/00006107D15D5A35","en-us","2024-10-16"
"k7vGFb3SKyzVx","GUNNA: Wun of Dem Nights","https://concerts.livenation.com/gunna-wun-of-dem-nights-brooklyn-new-york-10-21-2024/event/0000612CD3E78D22","en-us","2024-10-16"
"vv177Zb3GkSoy_oZ","GUNNA: Wun of Dem Nights","https://www.ticketmaster.com/gunna-wun-of-dem-nights-boston-massachusetts-10-22-2024/event/0100612CD1E59440","en-us","2024-10-16"
"G5viZboSBFEQ5","INSANE CLOWN POSSE ""TRAIN OF TERROR TOUR""","https://www.ticketmaster.com/insane-clown-posse-train-of-terror-nashville-tennessee-10-23-2024/event/1B00611CFA22768B","en-us","2024-10-16"
"G5dIZbuGsmErT","Don Toliver - Psycho Tour","https://www.ticketmaster.com/don-toliver-psycho-tour-austin-texas-10-23-2024/event/3A0060D331BA77BF","en-us","2024-10-16"
"G5vYZbkTo4UOw","LA SANTA GRIFA with DHARIUS: QUE SIGA LA MATA DANDO TOUR 2024","https://concerts.livenation.com/la-santa-grifa-with-dharius-que-sacramento-california-10-23-2024/event/1C00606FD1576832","en-us","2024-10-16"
"G5vYZb5MWEJed","G-Eazy - Freak Show","https://www.ticketmaster.com/geazy-freak-show-berkeley-california-10-24-2024/event/1C0060BDFD9E6083","en-us","2024-10-16"
"vvG10ZbCR02qGw","PJ Sin Suela","https://www.ticketmaster.com/pj-sin-suela-los-angeles-california-10-24-2024/event/090060EBE43DD332","en-us","2024-10-16"
"vv17FZb8GkDlSMbt","Chris Webby","https://www.ticketmaster.com/chris-webby-reading-pennsylvania-10-25-2024/event/0200610EEBCF7629","en-us","2024-10-16"
"G5dIZb5E3APHK","Santa Fe Klan - Blanco y Negro US Tour","https://www.ticketmaster.com/santa-fe-klan-blanco-y-negro-hidalgo-texas-10-25-2024/event/3A0060B9D2165F13","en-us","2024-10-16"
"1AeFZb3GkUae-u4","Trap Karaoke","https://www.ticketmaster.com/trap-karaoke-orlando-florida-10-26-2024/event/2200612D890A1355","en-us","2024-10-16"
"G5eVZbGBkhxUy","The Best of Both Worlds","https://www.ticketmaster.com/the-best-of-both-worlds-florence-south-carolina-10-26-2024/event/2D0060CE866E2DB9","en-us","2024-10-16"
"G5dIZb5YlfkJi","Santa Fe Klan - Blanco y Negro US Tour","https://www.ticketmaster.com/santa-fe-klan-blanco-y-negro-laredo-texas-10-26-2024/event/3A0060BC2B5069AC","en-us","2024-10-16"
"vvG1iZb630Woq1","LA SANTA GRIFA with DHARIUS Plus Guests","https://concerts.livenation.com/la-santa-grifa-with-dharius-plus-riverside-california-10-26-2024/event/0B006074A4F5174A","en-us","2024-10-16"
"vvG1OZb2la_VL1","That Mexican OT","https://concerts.livenation.com/that-mexican-ot-detroit-michigan-10-27-2024/event/080060FAC96747CA","en-us","2024-10-16"
"G5viZbCN1p4Wv","03 Greedo with DJ A-Tron - ""The Life That I Deserve Tour""","https://concerts.livenation.com/03-greedo-with-dj-atron-the-new-orleans-louisiana-10-27-2024/event/1B0060E8CA595F41","en-us","2024-10-16"
"17k8vOG612OBV60","Childish Gambino - The New World Tour","https://www.ticketmaster.com/childish-gambino-the-new-world-tour-phoenix-arizona-10-04-2024/event/190060A3E0EB41E4","en-us","2024-10-16"
"G5vYZbu3DdVcT","Don Toliver - Psycho Tour","https://www.ticketmaster.com/don-toliver-psycho-tour-san-francisco-california-10-15-2024/event/1C0060D4BB0F4B7F","en-us","2024-10-16"
